"Timestamp (PDT)","State","Charging State","Shift State","Battery Level (%)","Usable Battery Level (%)","Battery Range (mi)","Est. Battery Range (mi)","Ideal Battery Range (mi)","Latitude","Longitude","Elevation (m)","Speed (mph)","Power (kW)","Odometer (mi)","Charge Rate (mph)","Current (A)","Charger Power (kW)","Charger Voltage (V)","Charger Phases","Energy Added (kWh)","Rated Range Added (mi)","Ideal Range Added (mi)","Climate","Battery Heater","Inside Temp (°F)","Outside Temp (°F)","Locked","Sentry Mode"
"2024-03-10 13:34:28","online","Disconnected","D",34,34,97.13,,97.13,38.627872,-120.20625,2268,63,30,4573.53,0,0,0,2,,61.26,231,231,1,0,65,37,1,0
"2024-03-10 13:34:41","online","Disconnected","D",34,34,97.13,,97.13,38.628258,-120.21001,2266,57,-43,4573.74,0,0,0,2,,61.26,231,231,1,0,65,37,1,0
"2024-03-10 13:40:55","online","Disconnected","D",32,32,92.7,,92.7,38.570797,-120.26415,2090,57,6,4579.56,0,0,0,2,,61.26,231,231,1,0,66,37,1,0
"2024-03-10 13:41:18","online","Disconnected","D",32,32,92.7,,92.7,38.56747,-120.26476,2088,54,-4,4579.81,0,0,0,2,,61.26,231,231,1,0,66,37,1,0
"2024-03-10 13:41:25","online","Disconnected","D",32,32,92.7,,92.7,38.56461,-120.26638,2063,58,-16,4580.04,0,0,0,2,,61.26,231,231,1,0,66,37,1,0
"2024-03-10 13:41:40","online","Disconnected","D",32,32,92.7,,92.7,38.561928,-120.265465,2052,45,24,4580.25,0,0,0,2,,61.26,231,231,1,0,66,37,1,0
"2024-03-10 13:41:55","online","Disconnected","D",32,32,92.7,,92.7,38.56112,-120.26832,2042,48,7,4580.43,0,0,0,2,,61.26,231,231,1,0,66,37,1,0
"2024-03-10 13:42:28","online","Disconnected","D",33,33,92.7,,92.7,38.558914,-120.275856,2011,60,42,4580.89,0,0,0,2,,61.26,231,231,1,0,66,37,1,0
"2024-03-10 13:43:29","online","Disconnected","D",32,32,92.7,,92.7,38.556313,-120.29464,1983,64,-10,4582.01,0,0,0,2,,61.26,231,231,1,0,66,38,1,0
"2024-03-10 13:48:40","online","Disconnected","D",33,33,94.12,,94.12,38.544895,-120.37571,1661,61,-13,4587.24,0,0,0,2,,61.26,231,231,1,0,66,40,1,0
